SiteInfor,Country,Latitude,Longitude,Elevation,MAT,MAP,ClimateType,SamplingDepth,SamplingThickness,SandPerc,SiltPerc,ClayPerc,Texture,SoilpH,CoverCrop,CoverCropGroup,GrainCrop,GrainCropGroup,Tillage_C,Tillage_T,Fertilization_C,Fertilization_T,Conservation_Type,ControlDescription,Yield_C,Yield_T,Weed_C,Weed_T
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,White_clover,Legume,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Vetch,Legume,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,White_mustard,Brassica,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,4862,3990,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Alfalfa,Legume,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Ryegrass,Rye,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Oat,Grass,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Trudan_8,Grass,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Rye_grain,Rye,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,4862,5240,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Wheat,Grass,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Crown_Vetch,Legume,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
New York,USA,40.71,-74.01,3.5,,,,Not-available,Not-available,,,,NotAvailable,,Rapeseed,Brassica,Bean/Beet/Corn/Bean,MTT,,,,,CC,Fallow,,,,
"North  Willamette  Research  and Extension  Center,  Aurora,  Oregon ",USA,45.23,-122.76,48.4,,1040, Mediterranean,0-to-20,20,31.3,54,,Silt loam,,Rye,Rye,Corn/Wheat/Broccoli,MTT,,,Varied,Varied,CC,Fallow,,,,
"North  Willamette  Research  and Extension  Center,  Aurora,  Oregon ",USA,45.23,-122.76,48.4,,1040, Mediterranean,0-to-20,20,31.3,54,,Silt loam,,Red_clover,Legume,Corn/Wheat/Broccoli,MTT,,,Varied,Varied,CC,Fallow,,,,
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_winter,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,16400,23300,17250,7310
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,16400,19800,17250,12510
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,16400,19600,17250,12180
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,16400,21400,17250,11460
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,16400,18000,17250,15440
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,16400,19100,17250,12600
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Spring_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,16400,18700,17250,14400
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_winter,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,11200,15100,14530,6600
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,11200,12700,14530,11830
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,11200,13600,14530,10700
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,11200,12900,14530,9940
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,11200,11400,14530,14000
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,11200,12600,14530,14190
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Spring_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,11200,11900,14530,12700
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_winter,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,4400,8400,19940,12920
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,4400,6300,19940,16720
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,4400,6500,19940,14690
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,4400,5700,19940,15610
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,4400,4300,19940,19570
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,4400,4800,19940,20400
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Spring_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,4400,5000,19940,20380
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_winter,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,33800,37300,3010,1420
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33800,35600,3010,3470
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33800,36100,3010,2700
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,33800,38300,3010,2580
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33800,35800,3010,2640
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33800,35200,3010,2820
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Spring_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,33800,33900,3010,3430
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_winter,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,28900,30800,530,460
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,28900,30800,530,690
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,28900,31300,530,440
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,28900,30400,530,820
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,28900,29400,530,870
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,28900,32300,530,410
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Spring_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,28900,32000,530,750
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_winter,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,33100,32800,2460,1060
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33100,32400,2460,2820
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Fall_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33100,32500,2460,2540
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Fall_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,33100,34000,2460,1980
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Barley_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33100,30600,2460,1940
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Oat_Spring_seeded,Grass,Dry_bean,Vegetable,,,,,CC,Fallow,33100,30900,2460,1910
"Lethbridge, AB, Canada",Canada,49.69,-112.84,901,,,,Not-available,Not-available,37,30,,Loam,,Rye_Spring_seeded_spring,Rye,Dry_bean,Vegetable,,,,,CC,Fallow,33100,30500,2460,2070
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,0-to-7.5,7.5,,,,Silt loam,,Soybean,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,0 kg N per ha,0 kg N per ha,CC-NT,No cover crop,,,,
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,7.5-to-15,7.5,,,,Silt loam,,Soybean,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,0 kg N per ha,0 kg N per ha,CC-NT,No cover crop,,,,
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,0-to-7.5,7.5,,,,Silt loam,,Hemp,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,0 kg N per ha,0 kg N per ha,CC-NT,No cover crop,,,,
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,7.5-to-15,7.5,,,,Silt loam,,Hemp,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,0 kg N per ha,0 kg N per ha,CC-NT,No cover crop,,,,
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,0-to-7.5,7.5,,,,Silt loam,,Soybean,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,66 kg N per ha,66 kg N per ha,CC-NT,No cover crop,,,,
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,7.5-to-15,7.5,,,,Silt loam,,Soybean,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,66 kg N per ha,66 kg N per ha,CC-NT,No cover crop,,,,
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,0-to-7.5,7.5,,,,Silt loam,,Hemp,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,66 kg N per ha,66 kg N per ha,CC-NT,No cover crop,,,,
"Hesston,  KS",USA,38.14,-97.43,450,14.4,874,,7.5-to-15,7.5,,,,Silt loam,,Hemp,Legume,Winter_wheat/Sorghum,WO,No tillage,No tillage,66 kg N per ha,66 kg N per ha,CC-NT,No cover crop,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Lentil_Winter,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Pea_Spring,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Lentil_Spring,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
